index,t,x,y,z,vx,vy,vz,ax,ay,az
0,0,0,5,1,0,-0,0,0.00098663578586421921,-0,0
1,0.040000000000000001,1.5786172573827245e-06,4.9999999999997504,1,3.9465431434566799e-05,-1.2460162226532981e-11,0,0.0024646425643124305,-1.0896495127241069e-09,0
2,0.080000000000000002,9.4654734631775807e-06,4.9999999999910401,1,0.00019717140514465882,-3.7326414061950958e-10,0,0.006399511989182185,-1.9890194783585498e-08,0
3,0.12,3.1522529085823961e-05,4.9999999999006324,1,0.0005514263905602798,-3.476470887094558e-09,0,0.012282397035042556,-1.3824865640258569e-07,0
4,0.16,7.8713055802726199e-05,4.9999999993804254,1,0.0011797631678524263,-1.8572552815335227e-08,0,0.02009008063718213,-5.9463855424206802e-07,0
5,0.20000000000000001,0.00016505836945981991,4.9999999972755731,1,0.0021586328409193374,-7.1260083435741502e-08,0,0.029791749407150795,-1.9154146665383525e-06,0
6,0.23999999999999999,0.00030758249426902348,4.9999999905393011,1,0.003563103117588627,-2.1918962926386614e-07,0,0.041349115176994897,-5.0827935809315794e-06,0
7,0.28000000000000003,0.00052624497649185822,4.9999999723066226,1,0.005466562044732612,-5.7535016613099734e-07,0,0.05471656594043444,-1.1735523840394887e-05,0
8,0.32000000000000001,0.00084386211242262592,4.9999999287896726,1,0.0079404283610447542,-1.3401253491445039e-06,0,0.069841345490611384,-2.4397374286062115e-05,0
9,0.35999999999999999,0.0012860169008133374,4.9999998346160499,1,0.011053869598466017,-2.8430927186431885e-06,0,0.086663760878764623,-4.6727822017847259e-05,0
10,0.40000000000000002,0.0018809580736906105,4.9999996461996599,1,0.014873529024141605,-5.5952972963697739e-06,0,0.10511741662983402,-8.3788676015836535e-05,0
11,0.44,0.0026594886014976648,4.9999992927119878,1,0.019463262467850986,-1.0352466400676477e-05,0,0.12512947445161629,-0.00014231984094852031,0
12,0.47999999999999998,0.0036548441083319441,4.9999986642112759,1,0.024883886024724942,-1.8189349705399558e-05,0,0.14662093696715628,-0.00023101701815327844,0
13,0.52000000000000002,0.0049025616704105515,4.9999975964883294,1,0.031192935559551677,-3.0585072754684736e-05,0,0.16950695379040376,-0.00036080386519724114,0
14,0.56000000000000005,0.0064403395054495483,4.9999958522009855,1,0.03844443886711444,-4.9519088759188955e-05,0,0.19369714805886021,-0.00054509099752234817,0
15,0.59999999999999998,0.0083078880920658717,4.9999930978947811,1,0.046688701263097862,-7.7577008140476851e-05,0,0.2190959613410878,-0.00080001421877093002,0
16,0.64000000000000001,0.010546773286298539,4.9999888765449523,1,0.055972105292756175,-0.00011806528363468104,0,0.24560301465940973,-0.0011446445113521206,0
17,0.68000000000000005,0.013200252026628561,4.9999825753042817,1,0.066336925150685538,-0.00017513343646149689,0,0.2731134832171897,-0.0016011626040553376,0
