avg_abs_b,avg_abs_n,avg_iterations,avg_qp_iterations,avg_speed,avg_sqp_iterations,avg_tracking_error,backend,backend_family,case_name,file,final_theta_abs,final_tracking_error,max_constraint_violation,max_ms,median_ms,min_wall_dist,p95_ms,steps,success_rate
,,,,,,,acados,acados,chain_mass,results/raw/acados/chain_mass.csv,,,,9.653,5.974,-0.008418884,9.4886,25,1.0
,,2.54,2.54,,1.0,0.09516791963999999,acados,acados,data_driven_mpc_lemniscate_tracking,results/raw/acados/data_driven_mpc_lemniscate_tracking.csv,,0.001643018,0.0,0.179833055,0.063951015,,0.0986924887499999,500,1.0
,,2.078,2.078,,1.0,0.021465677586,acados,acados,data_driven_mpc_loop_tracking,results/raw/acados/data_driven_mpc_loop_tracking.csv,,0.001938373,0.0,0.195981979,0.06388104,,0.0809220494,500,1.0
,,7.030075187969925,7.030075187969925,2.496682581545,1.0,0.010074141492499999,acados,acados,mpcc_track_following,results/raw/acados/mpcc_track_following.csv,,0.002578181,0.0,0.369774938,0.287478447,,0.32400844679999996,400,0.9975
,,5.589658048373645,5.589658048373645,7.999317202036667,1.0,0.0011022589308333334,acados,acados,nonlinear_mpcc_fssim_following,results/raw/acados/nonlinear_mpcc_fssim_following.csv,,0.000630796,0.0,0.758859038,0.364340007,,0.41024453664999994,1200,0.9991666666666666
,,6.031719532554257,6.031719532554257,5.999212622381666,1.0,0.0021673406300000003,acados,acados,nonlinear_mpcc_porto_following,results/raw/acados/nonlinear_mpcc_porto_following.csv,,6.9928e-05,0.0,0.637907028,0.311228514,,0.35803097489999997,600,0.9983333333333333
,,1.0,,,1.0,,acados,acados,pendulum_on_cart,results/raw/acados/pendulum_on_cart.csv,0.024740132,,,1.485,0.5495000000000001,,0.8693,100,1.0
1.654004533844189e-05,5.49982343550447e-05,,,,,,acados,acados,quadrotor_nav,results/raw/acados/quadrotor_nav.csv,,,,3.597,2.5,,2.6304999999999996,1566,1.0
,,,,1.3520701275348836,,,acados,acados,race_cars,results/raw/acados/race_cars.csv,,,,1.443,0.726,,0.9477999999999996,344,1.0
,,2.54,2.54,,1.0,0.09516791963999999,acados_sqp,acados_sqp,data_driven_mpc_lemniscate_tracking,results/raw/acados_sqp/data_driven_mpc_lemniscate_tracking.csv,,0.001643018,0.0,0.187521935,0.087486446,,0.13713542239999998,500,1.0
,,2.078,2.078,,1.0,0.021465677586,acados_sqp,acados_sqp,data_driven_mpc_loop_tracking,results/raw/acados_sqp/data_driven_mpc_loop_tracking.csv,,0.001938373,0.0,0.253082991,0.087090969,,0.10836147069999993,500,1.0
,,12.8425,12.8425,2.4966812646275,1.83,0.010074547625000001,acados_sqp,acados_sqp,mpcc_track_following,results/raw/acados_sqp/mpcc_track_following.csv,,0.002577966,0.0,1.190065026,0.5933225154999999,,0.93481137795,400,1.0
,,5.903333333333333,5.903333333333333,7.9993091034558335,1.0525,0.0010614008816666666,acados_sqp,acados_sqp,nonlinear_mpcc_fssim_following,results/raw/acados_sqp/nonlinear_mpcc_fssim_following.csv,,0.000630796,0.0,0.931571007,0.4059450625,,0.7702624680500001,1200,1.0
,,7.6466666666666665,7.6466666666666665,5.999178318385,1.2683333333333333,0.0020901417683333334,acados_sqp,acados_sqp,nonlinear_mpcc_porto_following,results/raw/acados_sqp/nonlinear_mpcc_porto_following.csv,,6.9926e-05,0.0,0.813130021,0.36700999700000003,,0.69436937,600,1.0
,,2.2783505154639174,,,,195.2601854603091,altro,altro,data_driven_mpc_lemniscate_tracking,results/raw/altro/data_driven_mpc_lemniscate_tracking.csv,,1006.3954445512308,3.53391888943122e-05,13.659507,9.429321,,9.7172082,500,0.388
,,2.0,,,,0.027385818469444222,altro,altro,data_driven_mpc_loop_tracking,results/raw/altro/data_driven_mpc_loop_tracking.csv,,0.0023296386130704718,0.0,0.269874,0.14442149999999998,,0.165051,500,1.0
,,2.32,,,,,casadi,casadi,chain_mass,results/raw/casadi/chain_mass.csv,,,,408.922474016,360.628576949,-0.000475765,387.1481835606,25,1.0
,,1.002,,,,0.1044797447512468,casadi,casadi,data_driven_mpc_lemniscate_tracking,results/raw/casadi/data_driven_mpc_lemniscate_tracking.csv,,0.001977833919885191,1.7763568394002505e-15,12.178954,6.013268,,7.34338275,500,1.0
,,1.0,,,,0.02738583466981092,casadi,casadi,data_driven_mpc_loop_tracking,results/raw/casadi/data_driven_mpc_loop_tracking.csv,,0.002329638340640588,0.0,7.210562,6.0355815,,6.10692045,500,1.0
,,2.9176470588235293,,4.344618857721106,,1.0021781084658572,casadi,casadi,mpcc_track_following,results/raw/casadi/mpcc_track_following.csv,,1.9044146530229757,4.264502538373175,4447.158523,1.357331,,2559.701660099998,400,0.6375
,,1.4273430782459158,,8.31052082927469,,0.2655328758597489,casadi,casadi,nonlinear_mpcc_fssim_following,results/raw/casadi/nonlinear_mpcc_fssim_following.csv,,0.0006307950678552467,0.0,4587.825226,0.634703,,138.89894794999998,1200,0.9691666666666666
,,1.5520833333333333,,7.22731345018192,,1.870964300287588,casadi,casadi,nonlinear_mpcc_porto_following,results/raw/casadi/nonlinear_mpcc_porto_following.csv,,6.99863484081835e-05,13.721095012190293,5099.488408,0.5121614999999999,,3181.76405065,600,0.8
,,2.8979591836734695,,,,,casadi,casadi,pendulum_on_cart,results/raw/casadi/pendulum_on_cart.csv,0.001670395,,,1619.765350944,1.7086485164999998,,278.00649268914987,100,0.98
1.5169480204342273e-05,4.4199137292464874e-05,1.0070242656449553,,,,,casadi,casadi,quadrotor_nav,results/raw/casadi/quadrotor_nav.csv,,,,504.462150973,277.0578139465,,285.741721047,1566,1.0
,,,,nan,,,casadi,casadi,race_cars,results/raw/casadi/race_cars.csv,,,,2851.945030037,2.4516995765000003,,2.517660585,500,0.0
