t,x_ref,y_ref,yaw_ref,v_ref,w_left,w_right
0,12.465710400000001,610.00690800000007,-2.9966220234172378,4.5689520000000003,1.8500000000000001,1.8500000000000001
0.10000000000000001,11.993880000000001,609.93802319999998,-2.9920329137160993,4.5689520000000003,1.8500000000000001,1.8500000000000001
0.20000000000000001,11.5266216,609.86761439999998,-2.9892898598342126,4.5689520000000003,1.8500000000000001,1.8500000000000001
0.30000000000000004,11.0639352,609.79659600000002,-2.984546651051982,4.5689520000000003,1.8500000000000001,1.8500000000000001
0.40000000000000002,10.6058208,609.72405360000005,-2.9823346029239923,4.5689520000000003,1.8500000000000001,1.8500000000000001
0.5,10.1522784,609.65120639999998,-2.9787567473819263,4.5689520000000003,1.8500000000000001,1.8500000000000001
0.60000000000000009,9.7033080000000016,609.57744479999997,-2.9764439761751831,4.5262799999999999,1.8500000000000001,1.8500000000000001
0.70000000000000007,9.2589096000000009,609.50337839999997,-2.9746452147652307,4.4805599999999997,1.8500000000000001,1.8500000000000001
0.80000000000000004,8.819388,609.4293120000001,-2.9736043654521671,4.4348400000000003,1.8500000000000001,1.8500000000000001
0.90000000000000002,8.3844384000000005,609.35555040000008,-2.9718536939787552,4.3860720000000004,1.8500000000000001,1.8500000000000001
1,7.9540608000000006,609.28178879999996,-2.9693716303244706,4.3433999999999999,1.8500000000000001,1.8500000000000001
1.1000000000000001,7.5282552000000011,609.20772239999997,-2.9771491117971127,4.294632,1.8500000000000001,1.8500000000000001
1.2000000000000002,7.1076311999999993,609.13792320000005,-2.9924159162407968,4.2489119999999998,1.8500000000000001,1.8500000000000001
1.3,6.6918839999999999,609.07543920000001,-2.9668783227089213,4.2306240000000006,1.8500000000000001,1.8500000000000001
1.4000000000000001,6.2791847999999995,609.00259200000005,-2.8345469215711265,4.2641520000000002,1.8500000000000001,1.8500000000000001
1.5,5.8667904000000011,608.87183280000011,-2.7346540605162515,4.3891200000000001,1.8500000000000001,1.8500000000000001
1.6000000000000001,5.4537864000000003,608.69382960000007,-2.6288888267378647,4.6238160000000006,1.8500000000000001,1.8500000000000001
1.7000000000000002,5.039563199999999,608.46065759999999,-2.5483712422035585,4.916424000000001,1.8500000000000001,1.8500000000000001
1.8,4.6232063999999999,608.17993679999995,-2.46109242717979,5.1724559999999995,1.8500000000000001,1.8500000000000001
1.9000000000000001,4.2056303999999995,607.8419136,-2.4451312314823057,5.3218080000000008,1.8500000000000001,1.8500000000000001
2,3.7886640000000003,607.49322240000004,-2.4468543773930853,5.3675280000000001,1.8500000000000001,1.8500000000000001
2.1000000000000001,3.3753552,607.14879840000003,-2.4493441203447617,5.3370480000000011,1.8500000000000001,1.8500000000000001
2.2000000000000002,2.9650943999999999,606.8086416000001,-2.4632354175742166,5.2730400000000008,1.8500000000000001,1.8500000000000001
2.3000000000000003,2.5551383999999979,606.47823840000001,-2.5065156454699631,5.1815999999999995,1.8500000000000001,1.8500000000000001
2.4000000000000004,2.1415247999999982,606.17343840000001,-2.5640910190569204,5.0688240000000002,1.8500000000000001,1.8500000000000001
2.5,1.7233392000000001,605.90094720000002,-2.6314539056154813,4.9743360000000001,1.8500000000000001,1.8500000000000001
2.6000000000000001,1.298448,605.6632032,-2.6324330463936834,4.9255680000000002,1.8500000000000001,1.8500000000000001
2.7000000000000002,0.87203280000000005,605.42515440000011,-2.4997591363580121,4.9194720000000007,1.8500000000000001,1.8500000000000001
2.8000000000000003,0.43281599999999848,605.09688480000011,-2.2572450895549858,5.068824000000002,1.8500000000000001,1.8500000000000001
2.9000000000000004,0.092659199999998831,604.68174720000002,-2.0307547664589407,5.5595520000000036,1.8500000000000001,1.8500000000000001
